Bus,Phase,Voltage (pu),Angle (deg)
sourcebus,Phase 1,0.9994323604268844,-0.026369931395236836
sourcebus,Phase 2,0.9994323606066806,-120.026369942926
sourcebus,Phase 3,0.9994323603429066,119.97363003456094
subbus,Phase 1,0.9873444897081947,-30.76862321540075
subbus,Phase 2,0.9873445013335433,-150.76862331276953
subbus,Phase 3,0.9873445011201694,89.23137665895237
midbus,Phase 1,1.1162062889850357,-32.038254791983455
midbus,Phase 2,1.116206324176216,-152.03825504892808
midbus,Phase 3,1.1162063236758666,87.96174493237099
loadbus1,Phase 1,0.7648736249057154,-46.59068437986318
loadbus1,Phase 2,0.7648736419667957,-166.5906844785853
loadbus1,Phase 3,0.7648736424171518,73.40931500767962
loadbus2,Phase 1,0.7863331455198282,-55.46839197880558
loadbus2,Phase 2,0.7863331613654656,-175.4683920941226
loadbus2,Phase 3,0.7863331628980175,64.53160731410762
loadbus3,Phase 1,0.4752773446865548,-57.23938000025221
loadbus3,Phase 2,0.4752773554470423,-177.23937995635572
loadbus3,Phase 3,0.4752773551847146,62.76061943355098
